Country	Year	Unemployment.Rate
Singapore	1988	2.40000009536743
Spain	1988	14.6000003814697
Sweden	1988	1.39999997615814
United States	1988	4.40000009536743
Australia	1989	4.59999990463257
Canada	1989	6.80000019073486
Finland	1989	2.09999990463257
France	1989	8.19999980926514
Hong Kong, China	1989	0.69999998807907
Ireland	1989	14.3999996185303
Japan	1989	1.79999995231628
Netherlands	1989	7.5
New Zealand	1989	5.30000019073486
Norway	1989	3.79999995231628
Philippines	1989	5.80000019073486
Portugal	1989	3.79999995231628
Singapore	1989	1.60000002384186
Spain	1989	13.6000003814697
Sweden	1989	1.20000004768372
Turkey	1989	5.90000009536743
United States	1989	4.19999980926514
Australia	1990	5.09999990463257
Canada	1990	7.30000019073486
Finland	1990	2.09999990463257
France	1990	7.80000019073486
Hong Kong, China	1990	0.89999997615814
Ireland	1990	12.3999996185303
Japan	1990	1.60000002384186
Netherlands	1990	6.69999980926514
New Zealand	1990	6
Norway	1990	4.30000019073486
Philippines	1990	5.90000009536743
Portugal	1990	3.59999990463257
Singapore	1990	1.39999997615814
Spain	1990	13.1000003814697
Sweden	1990	1.29999995231628
Turkey	1990	5.40000009536743
United States	1990	4.5
Australia	1991	7.30000019073486
Canada	1991	9.19999980926514
Finland	1991	5.19999980926514
France	1991	8.30000019073486
Germany	1991	5.40000009536743
Hong Kong, China	1991	1.29999995231628
Ireland	1991	13.6000003814697
Japan	1991	1.60000002384186
Netherlands	1991	6.30000019073486
New Zealand	1991	8.10000038146973
Norway	1991	4.30000019073486
Philippines	1991	6.59999990463257
Portugal	1991	3.29999995231628
Singapore	1991	1.60000002384186
Spain	1991	13.6000003814697
Sweden	1991	2.5
Switzerland	1991	1.60000002384186
Turkey	1991	5.59999990463257
United States	1991	5.59999990463257
Australia	1992	8
Canada	1992	10
Finland	1992	9.60000038146973
France	1992	9
Germany	1992	6.5
Hong Kong, China	1992	1.5
Ireland	1992	13.8999996185303
Japan	1992	1.70000004768372
Korea, Rep.	1992	1.79999995231628
Netherlands	1992	5.09999990463257
New Zealand	1992	8.30000019073486
Norway	1992	4.80000019073486
Philippines	1992	4.90000009536743
Portugal	1992	3.09999990463257
Singapore	1992	1.79999995231628
Spain	1992	15.6999998092651
Sweden	1992	4.80000019073486
Switzerland	1992	2.59999990463257
Turkey	1992	5.80000019073486
United States	1992	6.30000019073486
Australia	1993	8.30000019073486
Canada	1993	10.1999998092651
Czech Rep.	1993	3.40000009536743
Finland	1993	14.1000003814697
France	1993	10.3999996185303
Germany	1993	7.59999990463257
Hong Kong, China	1993	1.39999997615814
Ireland	1993	14.3000001907349
Japan	1993	2
Korea, Rep.	1993	2.09999990463257
Netherlands	1993	5.5
New Zealand	1993	7.69999980926514
Norway	1993	5
Philippines	1993	4.69999980926514
Poland	1993	12.6999998092651
Portugal	1993	4.40000009536743
Singapore	1993	1.79999995231628
Slovenia	1993	7
Spain	1993	19.3999996185303
Sweden	1993	7.90000009536743
Switzerland	1993	3.29999995231628
Turkey	1993	6
United States	1993	5.80000019073486
Australia	1994	7.30000019073486
Canada	1994	9.30000019073486
Czech Rep.	1994	3.40000009536743
Finland	1994	14.1000003814697
France	1994	11
Germany	1994	8.10000038146973
Hong Kong, China	1994	1.39999997615814
Ireland	1994	13.3999996185303
Japan	1994	2.29999995231628
Korea, Rep.	1994	1.89999997615814
Netherlands	1994	6.30000019073486
New Zealand	1994	6.59999990463257
Norway	1994	4.5
Philippines	1994	4.80000019073486
Poland	1994	12.8000001907349
Portugal	1994	5.80000019073486
Romania	1994	6.69999980926514
Singapore	1994	1.79999995231628
Slovenia	1994	7.40000009536743
Spain	1994	20.8999996185303
Sweden	1994	8.19999980926514
Switzerland	1994	3.59999990463257
Turkey	1994	6.19999980926514
United States	1994	4.90000009536743
Australia	1995	6.40000009536743
Canada	1995	8.5
Czech Rep.	1995	3.29999995231628
Finland	1995	13.1000003814697
France	1995	10.5
Germany	1995	7.69999980926514
Hong Kong, China	1995	2.5
Ireland	1995	11
Japan	1995	2.59999990463257
Korea, Rep.	1995	1.60000002384186
Netherlands	1995	6.09999990463257
New Zealand	1995	5.09999990463257
Norway	1995	4
Philippines	1995	4.90000009536743
Poland	1995	11.6999998092651
Portugal	1995	6.09999990463257
Romania	1995	6.80000019073486
Singapore	1995	2.09999990463257
Slovenia	1995	5.80000019073486
Spain	1995	20
Sweden	1995	7.80000019073486
Switzerland	1995	3
Turkey	1995	5.09999990463257
United States	1995	4.40000009536743
Australia	1996	6.40000009536743
Canada	1996	8.60000038146973
Czech Rep.	1996	3.20000004768372
Finland	1996	12.1999998092651
France	1996	11.1000003814697
Germany	1996	8
Hong Kong, China	1996	2.20000004768372
Ireland	1996	11
Japan	1996	2.70000004768372
Korea, Rep.	1996	1.60000002384186
Latvia	1996	18
Netherlands	1996	5.40000009536743
New Zealand	1996	4.90000009536743
Norway	1996	3.79999995231628
Philippines	1996	4.30000019073486
Poland	1996	10.8000001907349
Portugal	1996	6.09999990463257
Romania	1996	5.19999980926514
Singapore	1996	2
Slovenia	1996	5.69999980926514
Spain	1996	19.3999996185303
Sweden	1996	8.60000038146973
Switzerland	1996	3.70000004768372
Turkey	1996	4.59999990463257
United States	1996	4.30000019073486
Australia	1997	6.40000009536743
Canada	1997	7.80000019073486
Czech Rep.	1997	4.09999990463257
Finland	1997	10.6999998092651
France	1997	11.1000003814697
Germany	1997	8.89999961853027
Hong Kong, China	1997	1.70000004768372
Ireland	1997	9.5
Japan	1997	2.79999995231628
Korea, Rep.	1997	2.09999990463257
Latvia	1997	14.1999998092651
Netherlands	1997	4.80000019073486
New Zealand	1997	5.30000019073486
Norway	1997	3.20000004768372
Philippines	1997	5.80000019073486
Poland	1997	10
Portugal	1997	5.69999980926514
Romania	1997	4.80000019073486
Singapore	1997	1.89999997615814
Slovak Republic	1997	9.89999961853027
Slovenia	1997	5.59999990463257
Spain	1997	18.2000007629395
Sweden	1997	9
Switzerland	1997	4.09999990463257
Turkey	1997	4.59999990463257
United States	1997	3.90000009536743
Australia	1998	6
Canada	1998	7
Czech Rep.	1998	5.5
Finland	1998	9.39999961853027
France	1998	10.6999998092651
Germany	1998	8.39999961853027
Hong Kong, China	1998	3.70000004768372
Ireland	1998	7.30000019073486
Japan	1998	3.40000009536743
Korea, Rep.	1998	6.30000019073486
Latvia	1998	12.8999996185303
Lithuania	1998	12.8000001907349
Netherlands	1998	3.59999990463257
New Zealand	1998	6.09999990463257
Norway	1998	2.29999995231628
Philippines	1998	5.40000009536743
Poland	1998	9.30000019073486
Portugal	1998	4.5
Romania	1998	5.40000009536743
Singapore	1998	3
Slovak Republic	1998	10.1999998092651
Slovenia	1998	6.40000009536743
Spain	1998	16.5
Sweden	1998	7.59999990463257
Switzerland	1998	3.29999995231628
Turkey	1998	4.90000009536743
United States	1998	3.5
Australia	1999	5.40000009536743
Canada	1999	6.40000009536743
Czech Rep.	1999	7.5
Finland	1999	8.5
France	1999	10
Germany	1999	7.80000019073486
Hong Kong, China	1999	5
Ireland	1999	5.30000019073486
Japan	1999	4
Korea, Rep.	1999	5.80000019073486
Latvia	1999	13.6000003814697
Lithuania	1999	14
Netherlands	1999	2.70000004768372
New Zealand	1999	5.40000009536743
Norway	1999	2.29999995231628
Philippines	1999	5.19999980926514
Poland	1999	11.8999996185303
Portugal	1999	4.09999990463257
Romania	1999	6.09999990463257
Singapore	1999	3.79999995231628
Slovak Republic	1999	13.1000003814697
Slovenia	1999	6.19999980926514
Spain	1999	13.8000001907349
Sweden	1999	6.19999980926514
Switzerland	1999	2.70000004768372
Turkey	1999	5.80000019073486
United States	1999	3.20000004768372
Australia	2000	5
Canada	2000	5.69999980926514
Czech Rep.	2000	7.69999980926514
Estonia	2000	12.8999996185303
Finland	2000	8
France	2000	8.80000019073486
Germany	2000	7.30000019073486
Hong Kong, China	2000	4
Ireland	2000	4
Japan	2000	4
Korea, Rep.	2000	3.90000009536743
Latvia	2000	14.1000003814697
Lithuania	2000	15.6000003814697
Netherlands	2000	2.40000009536743
New Zealand	2000	4.5
Norway	2000	2.5
Philippines	2000	6.09999990463257
Poland	2000	13.8999996185303
Portugal	2000	3.5
Romania	2000	6.59999990463257
Slovak Republic	2000	15.3999996185303
Slovenia	2000	6.09999990463257
Spain	2000	12.3000001907349
Sweden	2000	4.90000009536743
Switzerland	2000	2.29999995231628
Turkey	2000	4.90000009536743
United States	2000	3.09999990463257
Australia	2001	5.30000019073486
Canada	2001	6.19999980926514
Czech Rep.	2001	7.19999980926514
Estonia	2001	11.8000001907349
Finland	2001	7.40000009536743
France	2001	8.10000038146973
Germany	2001	7.59999990463257
Hong Kong, China	2001	4.30000019073486
Ireland	2001	3.29999995231628
Japan	2001	4.40000009536743
Korea, Rep.	2001	3.59999990463257
Latvia	2001	12.3999996185303
Lithuania	2001	16.5
Netherlands	2001	2.20000004768372
New Zealand	2001	4.09999990463257
Norway	2001	2.70000004768372
Philippines	2001	6
Poland	2001	15.6999998092651
Portugal	2001	3.5
Romania	2001	6.09999990463257
Singapore	2001	3.5
Slovak Republic	2001	15.8999996185303
Slovenia	2001	4.69999980926514
Spain	2001	9.30000019073486
Sweden	2001	4
Switzerland	2001	2.09999990463257
Turkey	2001	6.69999980926514
United Kingdom	2001	3.90000009536743
United States	2001	3.79999995231628
Australia	2002	5.09999990463257
Canada	2002	6.5
Czech Rep.	2002	6.5
Estonia	2002	10
Finland	2002	7.30000019073486
France	2002	8.30000019073486
Germany	2002	8.19999980926514
Hong Kong, China	2002	6.30000019073486
Ireland	2002	3.70000004768372
Japan	2002	4.90000009536743
Korea, Rep.	2002	3
Latvia	2002	11.1000003814697
Lithuania	2002	13.1999998092651
Netherlands	2002	2.70000004768372
New Zealand	2002	4
Norway	2002	3
Philippines	2002	6.40000009536743
Poland	2002	17.5
Portugal	2002	4.5
Romania	2002	7.40000009536743
Singapore	2002	4.59999990463257
Slovak Republic	2002	15.3000001907349
Slovenia	2002	5.19999980926514
Spain	2002	10.1999998092651
Sweden	2002	4.19999980926514
Switzerland	2002	2.70000004768372
Turkey	2002	8.60000038146973
United Kingdom	2002	4.09999990463257
United States	2002	4.80000019073486
Australia	2003	4.80000019073486
Canada	2003	6.40000009536743
Czech Rep.	2003	7
Estonia	2003	9.39999961853027
Finland	2003	7.30000019073486
France	2003	8.89999961853027
Germany	2003	9.5
Hong Kong, China	2003	6.90000009536743
Ireland	2003	4
Japan	2003	4.69999980926514
Korea, Rep.	2003	3.09999990463257
Latvia	2003	9.89999961853027
Lithuania	2003	11.1999998092651
Netherlands	2003	3.79999995231628
New Zealand	2003	3.5
Norway	2003	3.90000009536743
Philippines	2003	6.40000009536743
Poland	2003	17.3999996185303
Portugal	2003	5.80000019073486
Romania	2003	6.30000019073486
Singapore	2003	4.80000019073486
Slovak Republic	2003	15
Slovenia	2003	5.80000019073486
Spain	2003	10.3000001907349
Sweden	2003	4.90000009536743
Switzerland	2003	3.70000004768372
Turkey	2003	8.69999980926514
United Kingdom	2003	3.70000004768372
United States	2003	5
Australia	2004	4.19999980926514
Canada	2004	6
Czech Rep.	2004	7.30000019073486
Estonia	2004	8.89999961853027
Finland	2004	7.19999980926514
France	2004	9.10000038146973
Germany	2004	10.3999996185303
Hong Kong, China	2004	5.90000009536743
Ireland	2004	3.90000009536743
Japan	2004	4.40000009536743
Korea, Rep.	2004	3.20000004768372
Latvia	2004	9.80000019073486
Lithuania	2004	10.3999996185303
Netherlands	2004	4.40000009536743
New Zealand	2004	2.90000009536743
Norway	2004	3.90000009536743
Philippines	2004	6.59999990463257
Poland	2004	16.8999996185303
Portugal	2004	6.09999990463257
Romania	2004	6.90000009536743
Singapore	2004	4.30000019073486
Slovak Republic	2004	16
Slovenia	2004	5.30000019073486
Spain	2004	9.80000019073486
Sweden	2004	5.5
Switzerland	2004	4
Turkey	2004	8.69999980926514
United Kingdom	2004	3.59999990463257
United States	2004	4.59999990463257
Australia	2005	3.90000009536743
Canada	2005	5.69999980926514
Czech Rep.	2005	7.40000009536743
Estonia	2005	7.5
Finland	2005	6.80000019073486
France	2005	9.10000038146973
Germany	2005	10.3999996185303
Hong Kong, China	2005	4.80000019073486
Ireland	2005	3.70000004768372
Japan	2005	4.19999980926514
Korea, Rep.	2005	3.40000009536743
Latvia	2005	8.19999980926514
Lithuania	2005	7.80000019073486
Netherlands	2005	4.40000009536743
New Zealand	2005	2.70000004768372
Norway	2005	4
Philippines	2005	5.59999990463257
Poland	2005	16
Portugal	2005	7.30000019073486
Romania	2005	6.40000009536743
Slovenia	2005	5.69999980926514
Spain	2005	8
Sweden	2005	6.30000019073486
Switzerland	2005	3.79999995231628
Turkey	2005	9.5
United Kingdom	2005	3.5
United States	2005	4.09999990463257
