title_factor,artist_name_factor,max_duration
Good Bait,Dizzy Gillespie,212.06159
Sad Eyed Lady Of The Lowlands,Steve Howe,723.25179
Ghost Rider,The Young Gods,722.49424
Ghost Rider,The Cassandra Complex,317.30893
We Got To Live Together,Buddy Miles,717.68771
AV Unit,Montauk P,711.67955
I Gave You Away,Audion,707.70893
A Sorcerers Pledge,CANDLEMASS,707.082
Shri Shri Vikkuji,Jonas Hellborg,701.23057
After-Dinner Conversation (An Atrocious Conceit) / Where He Was Going,William S. Burroughs,699.81995
Neenderli,Musafir,699.03628
By The Time I Get To Arizona/Ball Of Confusion (live),Public Enemy,696.37179
Rego Park Blues,Ronnie Earl & the Broadcasters,695.11791
That Which Remains,Coph Nia,693.26322
The Last Angel (remix),Pallas,690.28526
Jam Session,Birdy Nam Nam,689.13587
No Place To Go,The Charlie Daniels Band,688.63955
C.O.B. (Album Version),Videodrone,684.43383
Taking the Throne,MZ 412,683.33669
Cross Breeding  (LP Version),Ornette Coleman,681.42975
Bat Out Of Hell,Meat Loaf,680.48934
Teeth Against The Glass,Silence 4,679.83628
Structure 5,Kotebel,678.94812
Self Similarity Life,Software,676.91057
Seven Days And One Week (Moguai Remix),BBE,676.15302
Tunnelivisio,Vladislav Delay,675.60444
Concerto No. 1 for Piano and Orchestra/Part One,Chick Corea;London Philharmonic Orchestra,675.16036
The Fire Is Waiting,Secret Machines,670.48444
Land of dawn,Uli Jon Roth,669.02159
Silence,Delerium feat. Sarah McLachlan,668.44689
Sanity's End (live),Threshold,666.77506
To When - Live,Wes Montgomery,665.25995
A Matança Do Porco,Som Imaginario,660.4273
Bug In The Bass Bin,Innerzone Orchestra,660.00934
Intro,Cali Agents,51.12118
Intro,Suicide Commando,22.80444
Intro,Merauder,77.45261
Intro,Trio Elétrico,43.7024
Intro,Dilute,657.44934
Intro,For Real,56.5024
Intro,Yummy Bingham / Busta Rhymes,102.63465
Intro,Porno para Ricardo,63.97342
Intro,Ajattara,48.77016
Intro,Cyssero,154.30485
Intro,Goasia,169.87383
Intro,Kryptic Minds,54.93506
Intro,Chromeo,70.50404
Intro,Loikaemie,89.91302
Rapture (Deep Dish Space Remix),iio,656.63955
Fool's Overture,Supertramp,655.04608
Trespassers,Newworldaquarium,654.65424
Falling Together,Max Graham,654.05342
Turkey Loose on the Kit,Alain Caron,653.97506
Saddle Tramp,The Charlie Daniels Band,653.73995
Didn't It Rain,Wooden Wand And The Vanishing Voice,652.66893
Tribecca,Uzeb,647.83628
The Mahdi,James Horner;Rahat Nusrat Fateh Ali Khan,647.36608
Between Tholozan And Oleatha,Grand Ulena,646.922
B'wana Devil,45 Grave,645.69424
Aztec Two-Step,Meshuggah,644.12689
Inner Conflicts (LP Version),Billy Cobham,643.05587
Down Boy (Live),Fishbone,638.04036
Seaside Traveling,Cybertribe,635.97669
Our Day Will Come,Cæcilie Norby,635.42812
Mournig Sun,Fields Of The Nephilim,634.51383
Roqueta To The Moon,Lost Acapulco,634.38322
Zeichen von Zauberkraft,Adorned Brood,633.10322
Dance with you,The Supermen Lovers,632.78975
Space Junk,Parallel or 90 Degrees,632.73751
Help Yourself,Death In Vegas,628.55791
The Great Stream,Pat Martino,627.64363
Stars,Sylvester,627.48689
More Horizons,16 Bit Lolitas,620.25098
Rose of Jericho,BT,617.92608
Bullet Frenzy,Elliot Goldenthal,617.82159
Jog,Siena Root,617.7171
Burnout,The Cinematic Orchestra,616.25424
Bozk na privitanie (Explicit),Kontrafakt,615.10485
You Are The Blood,Sufjan Stevens,614.21669
Just In Case It Happens_ Yes Indeed/Grand Junction/Consequently So Long Medley,Poco,612.17914
Strayhorn Medley,Emilie-Claire Barlow,611.3171
Written Apology,The Cooper Temple Clause,609.93261
Searching,Joe Satriani,607.50322
Searching,Catz n´Dogz,560.5873
Gettin' Tighter,Glenn Hughes,607.42485
Powers That Be&,Others,606.61506
Little Mercy (Live Version),The Durutti Column,604.83873
"After All These Years (Album Version + Hidden Track ""Outro"")",Silverchair,604.26404
Bloody Floor,Jerry Goldsmith,602.74893
You Are Not What You Think You Are,Codes In The Clouds,600.24118
Monochrome Existence (Track 2),Bill Laswell and Tetsu Inoue,600.0322
Monochrome Existence (Track 3),Bill Laswell and Tetsu Inoue,599.90159
Las Coplar,Elsa Garcia,599.61424
Metamorphyses VI,Raison D'être,596.11383
Some Enchanted Evening,Sonny Rollins,594.96444
Bundles,Mariee Sioux,594.46812
Do You Mean To Imply,Billy Cobham,592.8224
Requiem for the Voiceless,Cathedral,590.49751
Ontogeny of Behavior,Cephalic Carnage,589.81832
T.V. And Its Side Effects (Album Version),Jeff Foxworthy,589.08689
Black Market,Weather Report,588.66893
Dirtyfilthy,Superchumbo,588.12036
Bratrstvo vlkodlaka,Xiii. Stoleti,585.45587
Abdallah's Delight,Art Blakey,585.32526
Southern Sun,Paul Oakenfold,585.1424
Opus 77,Coph Nia,582.29506
Key To The Highway,Derek & The Dominos,580.64934
Missione Sirio 2222,Il Balletto Di Bronzo,579.99628
Journeys of a Dervish,Mercan Dede,577.20118
Bordertown (LP Version),Julius Hemphill,575.58159
Moments,Johan Gielen,575.50322
Ravmone.Exe,Kaly Live Dub,575.21587
When They Ring Them Golden Bells (with Hidden Track- Ophelia Reprise) (LP Version),Natalie Merchant,573.1522
Don't Forget About Us,Mariah Carey,572.60363
Nostoi,Trace Decay,572.42077
Lost for Words,Mike Nichol,571.58485
St. Louis Blues,Red Garland,570.01751
Dream Flight,Erik De Koning,569.36444
No Dust At All,Wang Wen,569.36444
Many Years From Now (Ralphi Rosario Remix),Lustral,568.47628
Another Autumn,Danilo Perez / Claus Ogerman,568.00608
Luau,Drive Like Jehu,567.37914
The Son of Empty Sequel,Chris Connelly,565.18485
Smoke From A Secret Source,Kaipa,563.64363
Lime In Da Coconut,Cobblestone Jazz,563.30404
Viscera Eyes,The Mars Volta,563.01669
My Thing,DJ Sneak,562.62485
Deliverance,Steve Miller Band,561.18812
Starpiss,Part Chimp,561.13587
If Trouble Was Money,Albert Collins,561.10975
Happiness,Jónsi & Alex,560.61342
Just Be,Tiësto,558.28853
RM,Bardo Pond,558.21016
Glitches 'N' Bugs,The Shortwave Set,557.68771
Quandra,Ray Lynch,557.53098
Sahara,Onur Özer,556.61669
Goin' On,The Joe Richardson Express,556.12036
Unveiled,Philip Jeck,555.57179
Hallelujah,Jeff Buckley,555.12771
Not Exactly,Deadmau5,554.762
Nonsense In The Dark,Filthy Dukes,554.63138
Breathe In,Alex Kunnari,554.47465
Eric's Guide Vocal Medley,The Alan Parsons Project,554.03057
Transfiguration,Earth Nation,553.16853
Moondance / My Funny Valentine,Van Morrison,552.22812
What Happened?,Abe Duque feat. Blake Baxter,552.04526
Sun Explosion,Manu Dibango,551.3922
Lunar Effect,Aerosis,551.1571
Island Lady,Sonny Rollins,549.58975
Jeezlh,Solar Fields,549.32853
The Girl From LBC,Mathew Jonson,549.09342
Clearing The Mind,Matthew Dekay,548.91057
D.A.D.O.E.S?,The Orb,548.49261
Part XII,Fates Warning,548.17914
Prequel To The Sequel,Between The Buried And Me,547.99628
Admonish The Living,Herbst9,546.69016
Baby Sol,El Hombre Burbuja,546.2722
Cardboard Box,Skytech,545.67138
Soul Cure,Kamil Polner,545.30567
Less Stress,Evil Nine,544.88771
Sister,Madrugada,541.962
Untitled 4,Windmills By The Ocean,541.6224
Knicker Bockers,Frank Martiniq,539.79383
Oneness,Paul Avgerinos,539.76771
Summer Blush,Mungo,539.27138
Diary,Alicia Keys featuring Tony! Toni! Toné! and Jermaine Paul,538.74893
Avalanche,Guy J,538.74893
Over And Over (Mock And Toof Dub),Hot Chip,536.37179
Conspiracy,Controlled Fusion,535.92771
The Ritual Of Mahaparinirvana,Laszlo Hortobagyi,535.45751
Invisible Man In A Fluorescent Suit,Shpongle,534.09914
Salala,Angelique Kidjo,533.41995
L'horloge de calcutta,Ambre & Mark Spybey,532.4273
April (Extended Mix),Osunlade,530.72934
Anja: Sehnsucht,Port-Royal,530.18077
Coded Language,Krust / Saul Williams,529.13587
Hiding Place (Fjord Remix),Rhian Sheehan,528.92689
Who's Afraid of Detroit? (Stanton Warriors Remix),Claude Vonstroke,528.84853
Driveshaft,Son Kite,528.27383
Voodoo Chile Blues,Jimi Hendrix,528.14322
Silver (Shiloh's Futureprog Rmx),Tripswitch,527.80363
Here's That Rainy Day,Paul Horn,527.59465
Man of Constant Sorrow (D.Ramirez Remix),Skeewiff,527.49016
The Inside,Photon Project,527.46404
Lover Man,McCoy Tyner,527.41179
La Sagrada Familia,The Alan Parsons Project,527.20281
Mofo,U2,526.8371
Sky Blues 2K8,Airwave,525.97506
She Wears Black,Incognito,525.5571
Through The Fire,Chaka Khan Chaka Khan,525.16526
Spectre,Anthony Shakir,525.11302
Lazy Daisy (original version),Another Fine Day,524.72118
Travelling Light,Markus Schulz,524.59057
Travelling Light,Metabass 'N' Breath,64.80934
Ring,Phonophani,523.4673
There's A River,Peter Green Splinter Group,523.28444
Moon Fm Desire,Ross154,521.32526
Chaos,Astral Projection,520.85506
I Believe (DJ Tandu Mix),Lange,520.54159
From Now To Never,Sparta,519.75791
AcroyearII,Autechre,519.3922
Four Score and Seven,Titus Andronicus,518.89587
"Me_ Me & You (Album Version + Bonus Track ""Postlude In B Major"")",Kirk Whalum,518.3473
Holland Tunnel Dive,ImpLOG,518.05995
El Viajero_ Directo,Seguridad Social,517.92934
Black Horse,Pharaoh Overlord,517.74649
Undercurrent (Alucidnation Downtempo Mix),Fragile State,516.38812
Shaken,Planetary Assault Systems,515.52608
Stringer,Riva,514.63791
Smashing The Opponent,Infected Mushroom featuring Jonathan Davis,514.48118
God's Ensanguined Bestiaries,The Ruins Of Beverast,513.20118
Infinity,Yves Deruyter,512.83546
Infinity,Guru Josh,241.6322
All Day,Butthole Surfers,512.1824
Serenity (Woods Techtrance Mix),Marcel Woods,511.7122
Women Lovin' Each Other,Mike Bloomfield,511.42485
Ish,Brand X,509.98812
Mindless,Steve Porter,509.33506
Splendid,Vic Chesnutt,509.02159
Planet 7,System 7,508.52526
Carac Cyls,Frog Pocket,507.45424
Baroque Digital,Acid Casuals,507.29751
Sun Goddess,Ramsey Lewis & Earth_ Wind & Fire,507.24526
Paella (Vogel),Secret Oyster,507.14077
Theorem,Ojm,507.11465
Decoration Blues,Abi Wallenstein,506.80118
Spiders,Oforia,506.01751
Free,Stephanie Mills,505.83465
Free,Cat Power,213.15873
Luna (Lee Van Dowski Rmx),Dusty Kid,505.33832
Can't Get Arrested,Lloyd Cole,505.25995
The Other Side of Madness,Chocolate Weasel,505.25995
First Stroke (Oliver Moldan Remix),Swen Weber,505.05098
Smile Back at Death,Blaze Bayley,504.99873
Cry,Kym Marsh,503.92771
Well Done,Martin Buttrich,503.562
Sunglasses At Night,Tiga & Zyntherius,502.85669
In-Novation,Astral Projection,502.77832
Summerscape,Stoneface & Terminal,502.5171
Ostatnie Widzenie (2003 Digital Remaster),Dzem,502.38649
Big Country,Béla Fleck & the Flecktones,501.96853
Cry Me A River,Julie London,182.12526
Cry Me A River,Diana Krall,305.3971
Cry Me A River,Justin Timberlake,501.10649
Sunrise In Montreal,Rabih Abou-Khalil,500.40118
Tired Little One,Bah Samba,497.65832
The Natural Bridge,McCoy Tyner,497.03138
AUTUMN LEAVES,Rachelle Ferrell,496.5873
Breathe,U2,300.30322
Breathe,Seabound,495.75138
Plis Infinis N°4,Frederic Galliano,494.2624
I Wanna Feel (Scot Project Remix),Nightclub,494.2624
Ordinary Joe,Terry Callier,494.13179
Gigi's Violin,Gigi D'agostino,494.05342
So What (Album Version),Ministry,493.81832000000003
Crystal Sequence,Astrix,493.5571
Angry Dolphin,Plaid,493.03465
I Want To Talk About You,JOHN COLTRANE,493.03465
Circle of Warmth,David & Steve Gordon,492.59057
Power,Earth_ Wind & Fire,491.72853
Power,Patrick Alavi,385.07057
The Sum Of All Parts,Dave Holland Sextet,491.62404
Of Dreams To Come,Robert Glasper,491.51955
Addison's Trip,Stephen Sondheim,491.41506
Leaving London,Team SR,490.73587
Lunar Rotisserie,King Cobb Steelie,490.05669
Sunrise In Eden / My Last Step Beyond,Edenbridge,489.66485
Old Robes,From Monument To Masses,489.58649
Who Cares,Unwound,161.51465
Who Cares,Subsky,489.45587
El Ángel Simón,Nacho Vegas,489.29914
Fashionista,Trisco,488.56771
Can't Get Enough [Henrik B Mix],Soulsearcher,488.14975
The Last Hemporor,Telefuzz,487.81016
Just An Illusion,Imagination,487.73179
Sanctuary,Alice Cooper,240.09098
Sanctuary,Helvetic Nerds,487.23546
Viver de Amor,Brad Mehldau Trio,486.76526
Steal Away (The Night) (With Drum Solo),Ozzy Osbourne,485.66812
Kapitel 5,Oliver Kalkofe,485.56363
Unlike Me,Kate Havnevik,485.35465
Kleines Testament,Hannes Wader,485.19791
In Keeping Secrets Of Silent Earth: 3,Coheed and Cambria,485.17179
Angels And Fuselage,Drive-By Truckers,484.67546
Surround Me With Your Love,3-11 Porter,484.5971
UNA PENA,Stimming,484.5971
Oxford Junk,True Lies,484.49261
When I Scream You Scream,Zombie Zombie,484.362
Digging Inside,Waltari,484.30975
Part Of Me,Solarstone Ft. Elizabeth Fields,483.70893
Legions Of The Black Light,Watain,483.49995
DNA,1200 Mics,483.39546
The Golden Spiral,Primordial,483.10812
Wenn Ich Betrunken Bin,Reinhard Mey,482.82077
When The Hurt Is Over,Mighty Sam McClain,482.08934
Brain Crackin',Showtek,482.0371
Just A Thought,Carl B.,481.59302
Circus Bells,Robert Armani,481.38404
Ghost,Embargo,480.88771
Magic Eye,Solar Fields,480.02567
I Luv You More (Dub U More Mix),Kimara Lovelace,479.79057
I Want You,Savage Garden,479.45098
Cymbals,Bardo Pond,478.9024
Back To My Roots - Back To My Technodiziak Roots,Laurent Garnier,478.71955
At Last You're Here,Pat Metheny,478.35383
Swan,Unwound,478.32771
Nexus,PsyCraft,478.27546
We've Always Got The Music,Down To The Bone,478.14485
Genji Monogatari (Album Version),Groove Collective,476.47302
Suicide,The Telescopes,476.42077
Suicide,The Devin Townsend Band,405.002
Hope,Swallow The Sun,475.16689
Uninvited,Freemasons Feat. Bailey Tzuke,474.85342
Slow Train,Status Quo,474.53995
Anti-Matter,The Curse Of The Golden Vampire,474.27873
Terpsichore (Album Version),Bob James And Earl Klugh,474.09587
Stupidmop,Pearl Jam,474.01751
In memory,Smash hit combo,473.96526
Visit The Moon,Man With No Name,473.59955
El Rey,Damian Schwartz,473.59955
Ancient Questions (War & Peace),Bob Neuwirth,473.57342
A Celebration,Le Loup,473.5473
Ora,Ludovico Einaudi,473.46893
I Try,Francois Dubois,473.23383
Jericho: The Shout Of Victory,Carman,473.20771
Soppin' The Biscuit,Roy Hargrove Quintet,472.76363
I Believe (2002 Digital Remaster),Triumvirat,472.52853
Malice Through The Looking Glass,The Tear Garden,472.39791
Zero Gravity,MNEMIC,471.95383
Mompouana,Esperanza Spalding,471.40526
Opiate Of The Masses,HEATHEN,471.30077
Call On Me,Eric Prydz,470.93506
Yaman Kalyan,Anoushka Shankar,470.90893
Mrs. Broflovski,Hardfloor,470.56934
Walk With Me,Alice Coltrane,470.22975
Dreamland,Asia 2001,373.02812
Dreamland,Nu Nrg,469.99465
M Train To Brooklyn,Loco Dice,469.96853
Hill of Crosses (very early mix),Sol Invictus,469.89016
It's Gonna Be Alright,Pussy 2000,469.89016
Relax,Frankie Goes To Hollywood,469.7073
Flash Forward,Penta,469.49832
Light Blue,JOHN COLTRANE,469.26322
Haifischflügel,Dominik Eulberg,469.08036
Snova,Tata Bojs,468.87138
Flip,Midi Miliz,468.50567
Fallin',The Seeds,468.37506
Fallin',Kathy Troccoli,249.46893
The DoomSword,DoomSword,468.32281
Rock Your Body Rock (Rennie Pilgrem Remix),Ferry Corsten,468.06159
Osho (310),Nuclear Ramjet,467.93098
Together (DJ Frankie Jones -Whips- Remix),4 Clubbers,467.74812
Kettle Whistle ( LP Version ),Jane's Addiction,467.48689
Agnon Djidjo,T.p. Orchestre Poly-rythmo,467.27791
Mystical Chants,Saafi Brothers,467.04281
A Love Supreme,Will Downing,348.05506
A Love Supreme,Carlos Santana & Mahavishnu John McLaughlin,466.28526
Ignotus per ignotium,Planet X,466.12853
Black Thanx,Abacus,464.66567
Super Nature,Stoneface & Terminal,464.61342
Find,Ridgewalkers,464.48281
Calypso Theme,Ian Pooley,464.19546
Sleepwalkin' II / Shout Out (LP Version),Naughty By Nature,463.93424
Road Bone,Willy Porter,463.80363
Line For Lyons,Chet Baker,463.72526
Notes Junky,Beat Hackers,463.49016
Underground Limbo,Ronald Christoph,463.25506
Casting Shadows Without Light,Spektre,463.20281
La Musique,EN VOICE,462.88934
Whiplash,Future Cut,462.70649
Motion (Album Version),Wintersleep,462.44526
Waters: Part II,Steffen Basho-Junghans,462.31465
Too Much Fun,Starflyer 59,462.2624
Celica-Souvenir,Sam Mangwana,462.18404
Sonny,Elliott Murphy,461.7922
Big Rooms Bigger Tunes,Stu Hirst,461.66159
Only You,Rappers Against Racism feat. Trooper,255.39873
Only You,Offer Nissim,461.29587
Only You,Ed Case;Elisabeth Troy,249.73016
Still Too Young To Remember (Live),It Bites,460.59057
Atrophy,The Red Jumpsuit Apparatus,197.82485
Atrophy,The Antlers,460.2771
love shelter,Sundial Aeon,459.93751
Semaname,Mercan Dede,459.62404
Luna Urbana,Enrico Rava_ Stefano Bollani_ Mark Turner_ Larry Grenadier_ Paul Motian,459.57179
Brainwaves,Teebee,459.04934
Early In The Morning,The Gap Band,458.55302
Early In The Morning,Charles Musselwhite,274.07628
Country Road (Unedited Original Version) (24-Bit Digitally Remastered 02),Grand Funk Railroad,458.55302
Going Wrong,Armin van Buuren,458.1873
Dark Side of My Room,Extrawelt,457.76934
Das Telefon sagt Du,Andreas Dorau,457.63873
Mosquitos (Bonus Track),Gonga,457.482
Img.00.37,Akotcha,457.35138
Kerbaros,Dark Soho,457.32526
Talkin' On The Otherphone,The Blue Aeroplanes,457.24689
Stories Of America,Controlled Fusion,457.22077
Poor Leno,Röyksopp,456.93342
Lonely Bed,Albert Cummings,456.93342
Kollipy,Exillon,456.59383
Zombie,Andrew Spencer & The Vamprockerz,456.46322
Rock This Town,Guana Batz,222.6673
Rock This Town,Stray Cats,456.4371
Caveman Boogie,Lesette Wilson,456.30649
Fires at midnight,Blackmore's Night,456.01914
Many Years From Now (D-Nox & Beckers Remix),Lustral,455.94077
Drama,Delerium,455.8624
Klaghorn,Niacin,455.8624
Black Ghost,Gay Dad,455.44444
Turn Me On,Dirty Old Ann,454.73914
Turn Me On,Kevin Lyttle,306.80771
Tito's Way (Booka Shade Remix),The Juan MacLean,454.68689
You Know How To Love Me,Phyllis Hyman,454.55628
Close to the Ground,Sian Alice Group,454.53016
Avenue (Album Version),Saint Etienne,454.53016
Spaceman,The Killers,454.3473
Sleazy Listening,Chaser,454.16444
Lake,Graham Coxon,454.13832
Berno,Till Von Sein,453.90322
EIGHTY ONE,Tom Browne,453.51138
Shades Of Deep Green,Insomnium,453.22404
Zdarlight (Palermo Disko Machine Interpretation),Digitalism,453.11955
Smoked Oak,David Holmes,452.91057
The Northern Cobbler,Crippled Black Phoenix,452.64934
Yesterday I Had The Blues,Harold Melvin & The Blue Notes,452.46649
I Sell Marihuana,Malente,452.28363
Philipp's Pavilion,Evan Parker Electro-Acoustic Ensemble,452.15302
Unappreciated (Edison Mid Remix),Cherish,451.81342
Holdin' On,Justin Faust,451.39546
Brace Yourself,Howie Day,451.23873
Fairytale,Gabriel Le Mar,451.21261
Long Distance Call,Don Griffin,450.97751
SUNDAY MORNING,Stimming,450.61179
Tell It To My Heart,Royal Gigolos,450.48118
Pandora's Box,Children On Stun,450.45506
Dernière Rime / Poésie Frite,SemiBruce,450.32444
Life Is Changing,Cricco Castelli,449.88036
Love Is Gonna Save Us,Benny Benassi Presents The Biz,449.82812
I'm Not Mysterious,Otis Taylor,449.64526
Thailand,BT,140.45995
Thailand,Moodswings,449.59302
If You Mean It,Alex Smoke,449.54077
My Heart Belongs To Daddy/Besame Mucho,Olivia Ruiz,449.54077
Black Sabbath,Black Sabbath,449.12281
Crying In The Rain,Guru Josh Project,448.88771
You Spin Me Round (Like A Record),Dead Or Alive,448.83546
Kuji Fondeya,Khadja Nin,448.78321999999997
Mr. Bojangles,David Bromberg,448.1824
Mr. Bojangles,Jerry Jeff Walker,231.31383
Feel What I Feel,Lo Fidelity Allstars,447.9473
Frozen Flame (Wezz & Fisher Remix),Jeckyll & Hyde,447.79057
Playtime,Jimpster,447.52934
Ocean Terrace,Daniel Wanrooy,447.32036
The Blues_ From Way Back (Album Version),Mark Whitfield,447.242
Men Of The Future,Moonbootica,445.64853
Zero-G,Minus 8,445.6224
In Your Own Sweet Way,Robert Glasper,445.43955
Olwa,Christian Burkhardt,445.12608
Unchain It,Richard Grey feat. ZoëXenia,444.96934
Cursed Diamond,Black Crowes,444.94322
Ring Road,Underworld,444.73424
Solea,Tim Rayborn,444.65587
Sear Me MCMXCIII,My Dying Bride,444.21179
Round About Midnight,Thelonious Monk,443.08853
Dirty Filthy,Superchumbo,443.01016
Let The Light In,Lens,442.85342
1-900-G-Man (How I Say I Love You),A Few Good Men,442.72281
Sandstorm (JS16 Remix),Darude,442.69669
Death Of Ferdia,DoomSword,442.46159
Planet Birth,Intuit,442.38322
The Visit,The Microscopic Septet,442.30485
Underachievers March and Fight Song,Archers Of Loaf,442.09587
Circles,Lou Rhodes,208.95302
Circles,Blonde On Blonde,441.91302
Circles,Glenn Morrison,293.22404
Be Together,Supafly Inc,441.28608
(two circles),Boredoms,441.23383
Bad Coffee (Slam No sugar Mix mix),Funk D'Void,441.12934
Sue's Last Ride,Dirty Three,441.05098
Valentine,Stephan Bodzin,441.02485
Valentine,Ryan Leslie,224.20853
Sleepy Son,Sleepy Sun,440.842
Love Beyond Measure/Amazing Grace,Eoghan Heaslip,440.76363
Breaking Bells (Mardi Gras),Crash Crew,440.55465
Love So Divine,Smalltown Poets,440.2673
You Pretend You Own This Place (Live Pukkelpop Festival Kiewit_ BE 8/05),Styrofoam,440.16281
Scar,Boo Reka,439.71873
Strange Colour Blue (Live),Madrugada,439.69261
Far Out,Sebo K,439.64036
Wolcke 7,Boris Brejcha,438.96118
Spooky Couch,Albert Hammond Jr,438.90893
Kick Out The Jams,Moguai,438.88281
Purify,Balligomingo,438.54322
If You Tolerate This,Eric Chase,438.02077
I:95,Filo & Peri,438.02077
A Criminal Mind,Gowan,437.83791
Disturbance,Megaptera,437.78567
Rosa Blu,Planet Funk,437.75955
Can't Get Away From You (Original Mix),Mood II Swing,437.36771
Freaks - Martin Eyerer Remix,Delon & Dalcan,437.34159
Paradox,Threshold,437.34159
Hoping (Naughty's Couture),Louie Austen,437.26322
The Hunter,Persuader,436.6624
Love Come Home,DJ Jean,436.6624
Trümmerfeld (Beautiful Collapse Version),Extrawelt,436.24444
Kiss [Extended Version],Prince & The Revolution,436.1922
Love's Gone Cold,Oli Brown,435.90485
FR33Z,I:Cube,435.80036
Eclipse,Talvin Singh,350.09261
Eclipse,Danny Elfman,435.722
Out Of Touch,Total Science,435.43465
Skyline,Dissociactive,435.43465
For No Reason,Richard Durand,435.40853
I Begin To Wonder 2008,Jean Claude Ades,435.3824
Sycamore Feeling (Gui Boratto Remix),Trentemøller,435.22567
Dead Letter,Diary of Dreams,435.19955
When The Sun Comes Down (Album Version),Joshua Redman,435.06893
Soul Function,Danny Byrd,435.06893
Smalltown Boy,Bronski Beat,434.57261
Come Into My Life,Rick James,434.25914
Funk Master Flex,Mastiksoul,434.15465
When the Funk Swings,Sylk 130,434.15465
Baba O'Riley,The Cube Guys,433.97179
Drinks Taste Better When They're Free,ElectroVamp,433.94567
Take Two,Penta,433.37098
Killing The Flies,The Ocean,433.31873
Lincoln Portrait,Judy Collins,433.24036
Acid Nightmare,Asys,432.63955
Cow,Sparklehorse,432.29995
8th Wonder,Hott 22,431.82975
Alone,Gez Varley,431.43791
The Invocation - Chapel Of Ghouls,Morbid Angel,431.33342
Silke,Ilsa Gold,431.12444
Morning Dove,Lisa Lynne,430.88934
rekorder 6.3,rekorder,430.31465
Collapsing New People (Berlin Mix),Fad Gadget,430.18404
Destination,Damn Arms,430.0273
Some Jokes (These Are Jokes),Demetri Martin,429.92281
Goody_ Like Two Shoes (Album Version),Matchbook Romance,429.53098
Feel Alive,Benassi Bros. Feat. Sandy,429.50485
Da Sambafrique,Nick Holder,429.45261
Ja Funmi,King Sunny Ade,428.85179
The Way It Is,Tesla,428.77342
The Way It Is,Nicole Atkins,218.90567
The Way It Is,Bruce Hornsby and the Range,237.08689
Der Hass,Das Ich,428.72118
Mother,The Police,185.59955
Mother,Kane,428.43383
Master of the Pit,Cirith Ungol,428.30322
Wrist Control,Lackluster,428.19873
Beat De Lucia,Beat Hackers,428.042
The Apple Stretching,Grace Jones,427.85914
Thoughts,Nightmares On Wax,427.54567
Ninety,Sander Van Doorn,427.51955
Breaks My Back,Jerry Cantrell,427.38893
